title,tags
Janam Janam,antaramitra arijitsingh bollywoodromantic dilwale 9.4
Andha Dhun,raftaar bollywooddance andhadhun 9.6
Holi Biraj Ma,jubinnautiyal bollywooddance genius 9.3
Kal Ho Naa Ho Title Track,sonunigam bollywoodsad kalhonaaho 9.5
Enna Sona,a.r.rahman arijitsingh bollywoodromantic okjaanu 9.5
Little Little,harrdysandhu bollywooddance yamlapagladeewanaphirse 9.2
Maa Sherawaliye,sonunigam bollywood khiladiyonkakhiladi 7.6
Disco Disco,bennydayal shirleysetia bollywooddance agentleman 8.9
Lambiyaan Si Judaiyaan,altamashfaridi arijitsingh shadaabfaridi bollywoodsad raabta 9.6
Aahista,arijitsingh jonitagandhi bollywoodromantic lailamajnu 9.4
Naam Hai Bhaiaji,amitmishra raftaar bollywood bhaiajisuperhit 9.4
Kisi Se Tum Pyaar Karo,alkayagnik kumarsanu bollywoodromantic andaaz 8.6
Baba Bolta Hain Bas Ho Gaya,papon ranbirkapoor supriyapathak bollywood sanju 9.6
Sultan Title Song,shadaabfaridi sukhwindersingh bollywoodmotivational sultan 8.9
Radio,amitmishra kamaalkhan bollywooddance tubelight 8.6
Sab Badhiya Hai,sukhwindersingh bollywooddance suidhaaga 9.2
Chin Chin Chu,jassigill sonakshisinha bollywooddance happyphirrbhaagjayegi 8.7
Beat Pe Booty,jigarsaraiya kanikakapoor sachinsanghvi vayu bollywooddance aflyingjatt 8.9
Jag Ghoomeya,rahatfatehalikhan bollywoodromantic sultan 8.7
Jogi,aakankshasharma yasserdesai bollywoodromantic shaadimeinzarooraana 9.6
Lets Nacho,badshah bennydayal bollywooddance kapoor&sons 9.2
Tu Tu Hai Wahi,ashabhosle kishorekumar bollywoodromantic yehvaadaraha 9.2
Yeh Vaada Raha,ashabhosle kishorekumar bollywooddance yehvaadaraha 9.2
Vande Mataram,badshah dalermehndi divyakumar tanishkasanghvi bollywooddance abcd2 9.4
Jeene Laga Hoon,atifaslam bollywoodromantic ramaiyavastavaiya 9.0
Nit Khair Manga,rahatfatehalikhan bollywoodromantic raid 9.4
Jitni Dafa,jeetgannguli yasserdesai bollywoodromantic parmanuthestoryofpokhran 9.7
Wajah Tum Ho,armaanmalik bollywoodromanticsensual hatestory3 8.8
Rozana,shreyaghoshal bollywoodromantic naamshabana 9.6
Tu Meri Main Tera,altamashfaridi rahatfatehalikhan shadabfaridi bollywoodromanticsad namasteengland 9.4
Gallan Goodiyaan,farhanakhtar manishkumartipu shankarmahadevan sukhwindersingh yashitasharma bollywooddance dildhadaknedo 8.9
Swag Se Swagat (Arabic),brigitteyaghi nehabhasin rabihbaroud vishaldadlani bollywooddance tigerzindahai 9.4
Kudiya Shehar Diyan,dalermehndi nehakakkar bollywooddance posterboys 9.0
Aap Se Milkar,aakankshasharma ayushmannkhurrana bollywoodromantic andhadhun 9.5
Socha Hai,jubinnautiyal neetimohan bollywoodromantic baadshaho 9.5
Sawan Aaya Hai (Unplugged Version),nehakakkar tonykakkar bollywoodsad creature3d 9.3
Pehle Ke Jaisa,k.k. bollywoodsad jalebi 9.7
Main Woh Chaand,darshanraval bollywoodromanticsad teraasurroor 9.0
Ankhiyon Se Goli Mare,jaspindernarula sonunigam bollywooddance dulheraja 8.2
Jab Tak,amaalmallik armaanmalik bollywoodromantic m.s.dhoni 9.4
Luv Letter,kanikakapoor meetbros bollywooddance thelegendofmichaelmishra 9.1
Ullu ka Pattha,arijitsingh nikhitagandhi bollywood jaggajasoos 8.8
